Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,ARI,,Dansby Swanson,SS,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$8,616,900","$6,500,000","$2,116,900"
1,2,HOU,,Alex Bregman,3B,21,R / R,"CO
                    
                    
                    Louisiana State","$7,420,100","$5,900,000","$1,520,100"
1,3,COL,,Brendan Rodgers,SS,18,R / R,"HS
                    
                    
                    Lake Mary HS (FL)","$6,223,300","$5,500,000","$723,300"
1,4,TEX,,Dillon Tate,RP,21,R / R,"CO
                    
                    
                    California-Santa Barbara","$5,026,500","$4,200,000","$826,500"
1,5,HOU,,Kyle Tucker,RF,18,L / R,"HS
                    
                    
                    Plant HS (FL)","$4,188,800","$4,000,000","$188,800"
1,6,MIN,,Tyler Jay,SP,21,L / L,"CO
                    
                    
                    Illinois-Urbana","$3,889,600",-,
1,7,BOS,,Andrew Benintendi,LF,21,L / L,"CO
                    
                    
                    Arkansas","$3,590,400","$3,590,400",
1,8,CHW,,Carson Fulmer,RP,21,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$3,470,700","$3,470,600",$100
1,9,CHC,,Ian Happ,LF,20,S / R,"CO
                    
                    
                    Cincinnati (OH)","$3,351,000","$3,000,000","$351,000"
1,10,PHI,,Cornelius Randolph,SS,18,/,"HS
                    
                    
                    Griffin HS (GA)","$3,231,300","$3,231,300",
1,11,CIN,,Tyler Stephenson,C,18,R / R,"HS
                    
                    
                    Kennesaw Mountain HS (GA)","$3,141,600","$3,141,600",
1,12,MIA,,Josh Naylor,LF,18,L / L,"HS
                    
                    
                    St. Joan of Arc Catholic SS (ON)","$3,051,800","$2,250,000","$801,800"
1,13,TB,,Garrett Whitley,OF,18,/,"HS
                    
                    
                    Niskayuna HS (NY)","$2,962,000","$2,959,600","$2,400"
1,14,ATL,,Kolby Allard,SP,17,L / L,"HS
                    
                    
                    San Clemente HS (CA)","$2,842,400","$3,042,400","-$200,000"
