Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,1,WSH,,Eli Willits,SS,17,S,"HS
                    
                    
                    Fort Cobb-Broxton HS (OK)","$11,075,900","$8,200,000","$2,875,900"
1,2,LAA,,Tyler Bremner,P,21,R,"CO
                    
                    
                    California-Santa Barbara","$10,252,700","$7,689,525","$2,563,175"
1,3,SEA,,Kade Anderson,P,21,L,"CO
                    
                    
                    Louisiana State","$9,504,400","$8,800,000","$704,400"
1,4,COL,,Ethan Holliday,SS,18,L,"HS
                    
                    
                    Stillwater HS (OK)","$8,770,900","$9,000,000","-$229,100"
1,5,STL,,Liam Doyle,P,21,L,"CO
                    
                    
                    Tennessee","$8,134,800","$7,250,000","$884,800"
1,6,PIT,,Seth Hernandez,P,19,R,"HS
                    
                    
                    Corona HS (CA)","$7,558,600","$7,250,000","$308,600"
1,7,MIA,,Aiva Arquette,SS,21,R,"CO
                    
                    
                    Oregon State","$7,149,900","$7,149,900",
1,8,TOR,,JoJo Parker,SS,18,L,"HS
                    
                    
                    Purvis HS (MS)","$6,813,600","$6,197,500","$616,100"
1,9,CIN,,Steele Hall,SS,18,R,"HS
                    
                    
                    Hewitt-Trussville HS (AL)","$6,513,800","$5,747,500","$766,300"
1,10,CHW,,Billy Carlson,SS,19,R,"HS
                    
                    
                    Corona HS (CA)","$6,238,400","$6,235,900","$2,500"
1,11,ATH,,Jamie Arnold,P,21,L,"CO
                    
                    
                    Florida State","$5,985,100","$5,985,100",
1,12,TEX,,Gavin Fien,SS,18,R,"HS
                    
                    
                    Great Oak HS (CA)","$5,746,800","$4,800,000","$946,800"
1,13,SF,,Gavin Kilen,SS,21,L,"CO
                    
                    
                    Tennessee","$5,524,300","$5,247,500","$276,800"
1,14,TB,,Daniel Pierce,SS,18,R,"HS
                    
                    
                    Mill Creek HS (GA)","$5,313,100","$4,310,600","$1,002,500"
1,15,BOS,,Kyson Witherspoon,P,20,R,"CO
                    
                    
                    Oklahoma","$5,114,200","$5,000,000","$114,200"
1,16,MIN,,Marek Houston,SS,21,R,"CO
                    
                    
                    Wake Forest (NC)","$4,929,600","$4,497,500","$432,100"
1,17,CHC,,Ethan Conrad,OF,21,L,"CO
                    
                    
                    Wake Forest (NC)","$4,750,800","$3,563,100","$1,187,700"
1,18,ARI,,Kayson Cunningham,SS,19,L,"HS
                    
                    
                    Johnson HS (TX)","$4,581,900","$4,581,900",
1,19,BAL,,Ike Irish,C,21,L,"CO
                    
                    
                    Auburn (AL)","$4,420,900","$4,418,400","$2,500"
1,20,MIL,,Andrew Fischer,3B,21,L,"CO
                    
                    
                    Tennessee","$4,268,100","$3,500,000","$768,100"
1,21,HOU,,Xavier Neyens,SS,18,L,"HS
                    
                    
                    Mount Vernon HS (WA)","$4,122,500","$4,120,000","$2,500"
1,22,ATL,,Tate Southisene,SS,18,R,"HS
                    
                    
                    Basic HS (NV)","$3,983,900","$2,622,500","$1,361,400"
1,23,KC,,Sean Gamble,OF,19,L,"HS
                    
                    
                    IMG Academy (FL)","$3,852,100","$3,997,500","-$145,400"
1,24,DET,,Jordan Yost,SS,18,L,"HS
                    
                    
                    Sickles HS (FL)","$3,726,300","$3,247,500","$478,800"
1,25,SD,,Kruz Schoolcraft,P,18,L,"HS
                    
                    
                    Sunset HS (OR)","$3,606,600","$3,606,600",
1,26,PHI,,Gage Wood,P,21,R,"CO
                    
                    
                    Arkansas","$3,492,200","$3,000,000","$492,200"
1,27,CLE,,Jace LaViolette,OF,21,L,"CO
                    
                    
                    Texas A&M","$3,382,600","$4,000,000","-$617,400"
1,28,KC,PPI,Josh Hammond,3B,18,R,"HS
                    
                    
                    Wesleyan Christian HS (NC)","$3,282,200","$3,197,500","$84,700"
1,29,ARI,Comp.,Patrick Forbes,P,21,R,"CO
                    
                    
                    Louisville (KY)","$3,191,100","$3,000,000","$191,100"
1,30,BAL,Comp.,Caden Bodine,C,21,S,"CO
                    
                    
                    Coastal Carolina (SC)","$3,113,300","$3,110,800","$2,500"
1,31,BAL,Comp.,Wehiwa Aloy,SS,21,R,"CO
                    
                    
                    Arkansas","$3,042,800","$3,040,300","$2,500"
1,32,MIL,Comp.,Brady Ebel,3B,18,L,"HS
                    
                    
                    Corona HS (CA)","$2,970,900","$2,750,000","$220,900"
1,33,BOS,Comp. Bal.                   MIL > BOS,Marcus Phillips,P,21,R,"CO
                    
                    
                    Tennessee","$2,898,300","$2,500,000","$398,300"
1,34,DET,Comp. Bal.,Michael Oliveto,C,18,L,"HS
                    
                    
                    Hauppauge HS (NY)","$2,827,300","$2,447,500","$379,800"
1,35,SEA,Comp. Bal.,Luke Stevenson,C,21,L,"CO
                    
                    
                    North Carolina","$2,758,300","$2,800,000","-$41,700"
1,36,MIN,Comp. Bal.,Riley Quick,P,21,R,"CO
                    
                    
                    Alabama","$2,692,000","$2,692,000",
1,37,BAL,Comp. Bal.                   TB > BAL,Slater de Brun,OF,18,L,"HS
                    
                    
                    Summit HS (OR)","$2,631,400","$4,000,000","-$1,368,600"
1,38,NYM,Comp. Bal.,Mitch Voit,TWP,20,R,"CO
                    
                    
                    Michigan","$2,569,400","$1,750,000","$819,400"
1,39,NYY,Comp. Bal.,Dax Kilby,SS,18,L,"HS
                    
                    
                    Newnan HS (GA)","$2,509,500","$2,797,500","-$288,000"
1,40,LAD,Comp. Bal.,Zach Root,P,21,L,"CO
                    
                    
                    Arkansas","$2,443,600","$2,200,000","$243,600"
1,41,LAD,Comp. Bal.                   BOS > LAD,Charles Davalan,OF,21,L,"CO
                    
                    
                    Arkansas","$2,386,900","$2,000,000","$386,900"
1,42,TB,Comp. Bal.                   ATH > TB,Brendan Summerhill,OF,21,L,"CO
                    
                    
                    Arizona","$2,331,000","$1,997,500","$333,500"
1,43,MIA,Comp. Bal.,Cam Cannarella,OF,21,L,"CO
                    
                    
                    Clemson (SC)","$2,276,700","$2,277,425",-$725
2,44,CHW,,Jaden Fauske,OF,18,L,"HS
                    
                    
                    Nazareth Academy (IL)","$2,223,600","$2,997,500","-$773,900"
2,45,COL,,JB Middleton,P,21,R,"CO
                    
                    
                    Southern Mississippi","$2,171,900","$2,071,900","$100,000"
2,46,MIA,,Brandon Compton,OF,21,L,"CO
                    
                    
                    Arizona State","$2,128,800","$2,000,000","$128,800"
2,47,LAA,,Chase Shores,P,21,R,"CO
                    
                    
                    Louisiana State","$2,079,700","$2,077,200","$2,500"
2,48,ATH,,Devin Taylor,OF,21,L,"CO
                    
                    
                    Indiana","$2,031,500","$2,500,000","-$468,500"
2,49,WSH,,Ethan Petry,OF,21,R,"CO
                    
                    
                    South Carolina","$1,984,200","$2,090,000","-$105,800"
2,50,PIT,,Angel Cervantes,P,17,R,"HS
                    
                    
                    Warren HS (CA)","$1,934,700",Unsigned,
2,51,CIN,,Aaron Watson,P,18,R,"HS
                    
                    
                    Trinity Christian Academy (FL)","$1,891,200","$2,747,500","-$856,300"
2,52,TEX,,AJ Russell,P,21,R,"CO
                    
                    
                    Tennessee","$1,846,700","$2,600,000","-$753,300"
2,53,TB,,Cooper Flemming,SS,18,L,"HS
                    
                    
                    Ganesha HS (CA)","$1,803,500","$2,297,500","-$494,000"
2,54,MIN,,Quentin Young,SS,18,R,"HS
                    
                    
                    Oaks Christian HS (CA)","$1,761,600","$1,761,600",
2,55,STL,,Ryan Mitchell,OF,18,L,"HS
                    
                    
                    Houston HS (TX)","$1,720,300","$2,250,000","-$529,700"
2,56,CHC,,Kane Kepley,OF,21,L,"CO
                    
                    
                    North Carolina","$1,680,000","$1,400,000","$280,000"
2,57,SEA,,Nick Becker,SS,18,R,"HS
                    
                    
                    Don Bosco Prep HS (NJ)","$1,636,800","$2,750,000","-$1,113,200"
2,58,BAL,,Joseph Dzierwa,P,21,L,"CO
                    
                    
                    Michigan State","$1,598,100","$1,497,500","$100,600"
2,59,MIL,,J.D. Thompson,P,21,L,"CO
                    
                    
                    Vanderbilt (TN)","$1,560,200","$1,560,200",
2,60,ATL,,Alex Lodise,SS,21,R,"CO
                    
                    
                    Florida State","$1,523,200","$1,297,500","$225,700"
2,61,KC,,Michael Lombardi,P,21,R,"CO
                    
                    
                    Tulane (LA)","$1,486,700","$1,297,500","$189,200"
2,62,DET,,Malachi Witherspoon,P,20,R,"CO
                    
                    
                    Oklahoma","$1,451,200","$1,448,700","$2,500"
2,63,PHI,,Cade Obermueller,P,22,L,"CO
                    
                    
                    Iowa","$1,416,600","$1,197,500","$219,100"
2,64,CLE,,Dean Curley,SS,21,R,"CO
                    
                    
                    Tennessee","$1,382,300","$1,733,905","-$351,605"
2,65,LAD,,Cam Leiter,P,21,R,"CO
                    
                    
                    Florida State","$1,349,100","$1,349,100",
2,66,CLE,Comp. Bal.,Aaron Walton,OF,21,R,"CO
                    
                    
                    Arizona","$1,320,400","$1,100,000","$220,400"
2,67,TB,Comp. Bal.,Dean Moss,OF,19,L,"HS
                    
                    
                    IMG Academy (FL)","$1,285,400","$2,097,500","-$812,100"
2,68,MIL,Comp. Bal.,Frank Cairone,P,17,L,"HS
                    
                    
                    Delsea Regional HS (NJ)","$1,254,400","$1,097,500","$156,900"
2,69,BAL,Comp. Bal.,JT Quinn,P,21,R,"CO
                    
                    
                    Georgia","$1,223,800","$1,147,500","$76,300"
2,70,CLE,Comp. Bal.                   ARI > CLE,Will Hynes,P,18,R,"HS
                    
                    
                    Lorne Park (ON)","$1,193,500","$950,000","$243,500"
2,71,KC,Comp. Bal.,Justin Lamkin,P,21,L,"CO
                    
                    
                    Texas A&M","$1,163,700","$1,161,200","$2,500"
2,72,STL,Comp. Bal.,Tanner Franklin,P,21,R,"CO
                    
                    
                    Tennessee","$1,145,900","$1,145,900",
2,73,PIT,Comp. Bal.,Murf Gray,3B,21,R,"CO
                    
                    
                    California State-Fresno","$1,128,400","$997,500","$130,900"
2,74,COL,Comp. Bal.,Max Belyeu,OF,21,L,"CO
                    
                    
                    Texas","$1,111,000","$1,111,000",
2,75,BOS,Comp.,Henry Godbout,2B,21,R,"CO
                    
                    
                    Virginia","$1,093,800","$1,093,800",
2,,HOU,,Forfeit,,,,,-,-,
2,,TOR,,Forfeit,,,,,-,-,
2,,ARI,,Forfeit,,,,,-,-,
2,,SF,,Forfeit,,,,,-,-,
2,,NYM,,Forfeit,,,,,-,-,
2,,NYY,,Forfeit,,,,,-,-,
3,76,CHW,,Kyle Lodise,SS,21,R,"CO
                    
                    
                    Georgia Tech","$1,076,800","$922,500","$154,300"
3,77,COL,,Ethan Hedges,3B,21,R,"CO
                    
                    
                    Southern California","$1,060,300","$950,000","$110,300"
3,78,MIA,,Max Williams,OF,20,L,"CO
                    
                    
                    Florida State","$1,043,700","$897,500","$146,200"
3,79,LAA,,Johnny Slawinski,P,18,L,"HS
                    
                    
                    Johnson HS (TX)","$1,027,200","$2,497,500","-$1,470,300"
3,80,WSH,,Landon Harmon,P,18,R,"HS
                    
                    
                    East Union HS (MS)","$1,010,600","$2,500,000","-$1,489,400"
3,81,TOR,,Jake Cook,OF,22,L,"CO
                    
                    
                    Southern Mississippi","$993,900","$922,500","$71,400"
3,82,PIT,,Easton Carmichael,C,21,R,"CO
                    
                    
                    Oklahoma","$979,500","$977,000","$2,500"
3,83,CIN,,Mason Morris,P,21,R,"CO
                    
                    
                    Mississippi","$964,800","$897,500","$67,300"
3,84,TEX,,Josh Owens,SS,18,L,"HS
                    
                    
                    Providence HS (TN)","$950,100","$1,100,000","-$149,900"
3,85,SF,,Trevor Cohen,OF,21,L,"CO
                    
                    
                    Rutgers (NJ)","$935,300","$847,500","$87,800"
3,86,TB,,Taitn Gray,C,17,S,"HS
                    
                    
                    Dallas Center-Grimes HS (IA)","$920,800","$918,300","$2,500"
3,87,BOS,,Anthony Eyanson,P,20,R,"CO
                    
                    
                    Louisiana State","$907,200","$1,750,000","-$842,800"
3,88,MIN,,James Ellwanger,P,21,R,"CO
                    
                    
                    Dallas Baptist (TX)","$893,000","$1,000,000","-$107,000"
3,89,STL,,Jack Gurevitch,1B,21,L,"CO
                    
                    
                    San Diego (CA)","$879,000","$879,000",
3,90,CHC,,Dominick Reid,P,21,R,"CO
                    
                    
                    Abilene Christian (TX)","$865,500","$649,125","$216,375"
3,91,SEA,,Griffin Hugus,P,21,R,"CO
                    
                    
                    Miami (FL)","$851,800","$640,000","$211,800"
3,92,ARI,,Brian Curley,P,22,R,"CO
                    
                    
                    Georgia","$839,100","$700,000","$139,100"
